                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84583,                0.55118,                 1.0371,                0.95297,                0.93867,                0.98021,                 0.7528,                0.80427,                0.45153,                 1.0073,              0.0006932,              0.0006932,              0.0006932
                     36,                  0.814,                0.52509,                 1.0218,                0.97516,                  0.948,                0.98708,                0.79117,                0.75375,                0.42056,                0.97756,              0.0006536,              0.0006536,              0.0006536
                     37,                0.82607,                0.52621,                 1.0287,                0.96505,                 0.9203,                0.97452,                0.76876,                0.79725,                0.46933,                0.99968,               0.000614,               0.000614,               0.000614
                     38,                0.80995,                0.51824,                 1.0196,                0.96423,                0.93457,                0.98327,                0.78531,                0.77151,                0.42808,                 0.9892,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79513,                0.50386,                 1.0138,                0.96885,                 0.9537,                0.98981,                0.79823,                0.75283,                0.40738,                0.97927,              0.0005348,              0.0005348,              0.0005348
                     40,                0.81657,                0.51846,                 1.0255,                0.97767,                  0.948,                 0.9889,                0.80083,                0.74357,                0.40134,                0.97489,              0.0004952,              0.0004952,              0.0004952
                     41,                0.63503,                0.40757,                0.90702,                0.95914,                  0.956,                0.98549,                0.76794,                0.76466,                0.42167,                0.98669,              0.0004556,              0.0004556,              0.0004556
                     42,                0.62418,                0.36297,                 0.8991,                0.96262,                0.94933,                0.98338,                0.77285,                0.77377,                0.41801,                0.99187,               0.000416,               0.000416,               0.000416
                     43,                0.60387,                0.34904,                0.89047,                 0.9703,                0.95829,                0.98806,                0.78514,                0.74466,                0.40462,                0.98296,              0.0003764,              0.0003764,              0.0003764
                     44,                0.60431,                0.34519,                0.89373,                0.96862,                  0.948,                 0.9891,                0.79963,                0.72816,                0.39759,                0.97066,              0.0003368,              0.0003368,              0.0003368
                     45,                0.58402,                0.33543,                0.88022,                0.97211,                0.94667,                0.98717,                0.79938,                0.73088,                0.39057,                0.98508,              0.0002972,              0.0002972,              0.0002972
                     46,                0.57819,                 0.3233,                0.89025,                0.98062,                0.94933,                0.98891,                0.80523,                0.72629,                0.38789,                0.97443,              0.0002576,              0.0002576,              0.0002576
                     47,                0.57369,                0.32016,                0.88105,                0.97425,                0.95843,                0.99087,                0.81199,                0.70847,                 0.3709,                0.96472,               0.000218,               0.000218,               0.000218
                     48,                0.55829,                0.30976,                0.87553,                0.97029,                0.95796,                0.98973,                0.81194,                0.71087,                0.37053,                0.96277,              0.0001784,              0.0001784,              0.0001784
                     49,                0.54534,                0.30402,                0.87191,                0.98352,                0.95473,                 0.9905,                0.81777,                0.70245,                0.36401,                0.96194,              0.0001388,              0.0001388,              0.0001388
                     50,                0.54303,                0.29984,                0.87016,                0.98217,                 0.9546,                0.99062,                0.82276,                0.69698,                0.36162,                0.96274,               9.92e-05,               9.92e-05,               9.92e-05
